group,condition,pilot_profile,decision ,duration_min,location,familiarity,comment
12,h_noTMS,version 5,B,21.35,Heidelberg,knew each other,
13,h_noTMS,version 2,B,22.54,Heidelberg,did not know each other,
14,h_noTMS,version 1,C,10.1,Heidelberg,did not know each other,maybe exclude because of simple version
16,so_TMS,version 3,C,11.3,Heidelberg,did not know each other,
17,so_TMS,version 5,C,14.4,Heidelberg,did not know each other,
18,so_noTMS,version 5,B,43.2,Heidelberg,did not know each other,"one guy (though young) assumed kind of a leadership role, he was very dominant and biased towards B. The discussion was particularly long, however, as another guy was not willing to make a decision. The girl was mostly withdrawn and excluded, she indicated in the servey that she was not identified with the group (hidden hierarchical"
19,h_TMS,version 5,B,23,Heidelberg,did not know each other,leader talked more than the others
20,so_noTMS,version 5,B,22.1,Heidelberg,did not know each other,"one member was clearly moderating the discussion, the girl felt dominated, potentially ""hidden hierachical"""
21,so_noTMS,version 4,C,22.3,Heidelberg,did not know each other,"collected much information, extremely balanced conversation, members were harmonious "
22,h_TMS,version 4,B,31,Heidelberg,knew each other,"leader was anal, which is why it took relatively long; it was slightly problematic that they knew each other because that undermined the hierarchical manipulation, potentially exclude (in the last question, members revealed that they knew it was about the group structure and the influence of the leader, i.e. they were aware of the manipulation)"
40,so_noTMS,version 4.1,C,15.02,Regensburg,did not know each other,defined great strategy in the beginning and collected almost all the information available
41,h_TMS,version 4.1,C,15.3,Regensburg,did not know each other,leader was considerate of the members' expertise but guided the conversation 
23,h_noTMS,version 4,C,13.4,Regensburg,did not know each other,"leader was very structured and collected all the information, she was not particularly dominant but made her decision independently against member's opinion; example for a strong competent leader"
24,so_TMS,version 4 ,B,20.4,Regensburg,did not know each other,one member was a bit more dominant than the others and had kind of a leader role 
25,h_TMS,version 2,A,20.15,Regensburg,did not know each other,"leader made her decision independently (and made the wrong one in this case, although she had enough information to be informed); good example of thr damaging effect of individual opinion"
26,so_noTMS,version 2,B,24,Regensburg,knew each other,"mentioned preference early, decision was not unanimous "
27,so_TMS,version 2,C,26.06,Regensburg,did not know each other,"one member wanted to exchange preferences first, another member jumped in and suggested to get the full picture instead first --> could demonstrate that the better strategy is more likely to be developed when more people are responsible for mapping out a strategy; also, members corrected information that was misremembered by one guy which is more likely to happen in so_teams; discussion was very controversial; they really discussed a lot and long because it was not an unanimous decision --> very engaged   "
28,h_TMS,version 4,C,10.42,Regensburg,did not know each other,"leader considered expertise and determined a good strategy, collected information quickly; all girls remembered information very well which added to solvong it, leader was mostly just moderating but it is a good example for an effective leader!!"
29,so_noTMS,version 4,C,20.35,Regensburg,did not know each other,"immediately developed and discussed strategy to proceed, thus disseminated information well, everyone contributed, there was no clearly more dominant person, although one member was a bit quiet"
30,h_noTMS,version 4,B,9.05,Regensburg,did not know each other,"leader gave kind of commands and was relatively dominant, he summarized the pilot profiles but did not start a discussion, short meeting!!"
